meeting_id,title,type,start_time,duration_minutes,attendees_count,organizer,sprint_number,is_recurring
1,Daily Standup - 2024-01-01,standup,2024-01-01 09:00:00,16,12,sarah.johnson,1,True
2,Daily Standup - 2024-01-02,standup,2024-01-02 09:00:00,16,12,sarah.johnson,1,True
3,Daily Standup - 2024-01-03,standup,2024-01-03 09:00:00,16,12,sarah.johnson,1,True
4,Daily Standup - 2024-01-04,standup,2024-01-04 09:00:00,16,12,sarah.johnson,1,True
5,Daily Standup - 2024-01-05,standup,2024-01-05 09:00:00,16,12,sarah.johnson,1,True
6,Daily Standup - 2024-01-08,standup,2024-01-08 09:00:00,16,12,sarah.johnson,1,True
7,Daily Standup - 2024-01-09,standup,2024-01-09 09:00:00,16,12,sarah.johnson,1,True
8,Daily Standup - 2024-01-10,standup,2024-01-10 09:00:00,16,12,sarah.johnson,1,True
9,Daily Standup - 2024-01-11,standup,2024-01-11 09:00:00,16,12,sarah.johnson,1,True
10,Daily Standup - 2024-01-12,standup,2024-01-12 09:00:00,16,12,sarah.johnson,1,True
11,Daily Standup - 2024-01-15,standup,2024-01-15 09:00:00,16,12,sarah.johnson,1,True
12,Sprint 1 Planning,sprint_planning,2024-01-01 09:00:00,264,12,sarah.johnson,1,True
13,Sprint 1 Retrospective,retrospective,2024-01-15 14:00:00,99,12,sarah.johnson,1,True
14,Dependency Sync - 01-01,dependency_sync,2024-01-01 13:00:00,49,5,sarah.johnson,1,False
15,Dependency Sync - 01-12,dependency_sync,2024-01-12 10:00:00,49,6,sarah.johnson,1,False
16,Dependency Sync - 01-06,dependency_sync,2024-01-06 14:00:00,49,6,mark.smith,1,False
17,Daily Standup - 2024-01-15,standup,2024-01-15 09:00:00,18,12,sarah.johnson,2,True
18,Daily Standup - 2024-01-16,standup,2024-01-16 09:00:00,18,12,sarah.johnson,2,True
19,Daily Standup - 2024-01-17,standup,2024-01-17 09:00:00,18,12,sarah.johnson,2,True
20,Daily Standup - 2024-01-18,standup,2024-01-18 09:00:00,18,12,sarah.johnson,2,True
21,Daily Standup - 2024-01-19,standup,2024-01-19 09:00:00,18,12,sarah.johnson,2,True
22,Daily Standup - 2024-01-22,standup,2024-01-22 09:00:00,18,12,sarah.johnson,2,True
23,Daily Standup - 2024-01-23,standup,2024-01-23 09:00:00,18,12,sarah.johnson,2,True
24,Daily Standup - 2024-01-24,standup,2024-01-24 09:00:00,18,12,sarah.johnson,2,True
25,Daily Standup - 2024-01-25,standup,2024-01-25 09:00:00,18,12,sarah.johnson,2,True
26,Daily Standup - 2024-01-26,standup,2024-01-26 09:00:00,18,12,sarah.johnson,2,True
27,Daily Standup - 2024-01-29,standup,2024-01-29 09:00:00,18,12,sarah.johnson,2,True
28,Sprint 2 Planning,sprint_planning,2024-01-15 09:00:00,288,12,sarah.johnson,2,True
