build_id,pipeline_name,triggered_by,start_time,end_time,status,duration_minutes,commit_sha,branch,tests_run,tests_passed,code_coverage_percent,sprint_number
1,phoenix-mobile-api-ci,david.kumar,2024-01-01 12:45:00,2024-01-01 12:55:00,SUCCESS,10,abc000709,develop,86,79,72.09512659726661,1
2,phoenix-billing-service-ci,james.taylor,2024-01-01 15:15:00,2024-01-01 15:22:00,SUCCESS,7,abc001497,feature/billing,129,37,77.11296924941956,1
3,phoenix-customer-platform-ci,ana.lopez,2024-01-01 19:16:00,2024-01-01 19:25:00,SUCCESS,9,abc001502,develop,62,118,61.3734599837186,1
4,phoenix-customer-platform-ci,james.taylor,2024-01-01 11:32:00,2024-01-01 11:39:00,SUCCESS,7,abc000795,feature/billing,86,78,65.21368247602466,1
5,phoenix-auth-service-ci,tom.garcia,2024-01-01 11:23:00,2024-01-01 11:32:00,SUCCESS,9,abc001451,main,92,127,74.7846247544573,1
6,phoenix-web-frontend-ci,james.taylor,2024-01-01 09:22:00,2024-01-01 09:27:00,SUCCESS,5,abc000622,develop,82,89,65.5871934503889,1
7,phoenix-customer-platform-ci,tom.garcia,2024-01-01 14:39:00,2024-01-01 14:49:00,SUCCESS,10,abc001925,main,88,135,78.81157603309003,1
8,phoenix-customer-platform-ci,david.kumar,2024-01-01 15:47:00,2024-01-01 15:55:00,SUCCESS,8,abc000064,main,60,43,60.34016491601211,1
9,phoenix-mobile-api-ci,james.taylor,2024-01-01 18:01:00,2024-01-01 18:11:00,SUCCESS,10,abc000828,develop,119,67,78.6776637979494,1
10,phoenix-auth-service-ci,tom.garcia,2024-01-02 19:19:00,2024-01-02 19:29:00,SUCCESS,10,abc001958,feature/billing,67,106,77.99332595468564,1
11,phoenix-web-frontend-ci,tom.garcia,2024-01-02 13:29:00,2024-01-02 13:38:00,SUCCESS,9,abc001949,feature/billing,59,63,75.4744300506479,1
12,phoenix-customer-platform-ci,james.taylor,2024-01-02 17:31:00,2024-01-02 17:41:00,SUCCESS,10,abc001779,feature/billing,72,43,79.46890101208119,1
13,phoenix-mobile-api-ci,david.kumar,2024-01-02 10:35:00,2024-01-02 10:40:00,SUCCESS,5,abc001058,develop,142,39,81.944566596119,1
14,phoenix-web-frontend-ci,ana.lopez,2024-01-02 09:42:00,2024-01-02 09:51:00,SUCCESS,9,abc000156,feature/auth,98,71,64.69769706219587,1
15,phoenix-auth-service-ci,tom.garcia,2024-01-02 10:12:00,2024-01-02 10:20:00,SUCCESS,8,abc001465,feature/billing,139,123,82.82639514689,1
16,phoenix-customer-platform-ci,james.taylor,2024-01-02 08:18:00,2024-01-02 08:23:00,SUCCESS,5,abc000273,feature/billing,51,73,76.49732723170598,1
17,phoenix-mobile-api-ci,james.taylor,2024-01-02 17:00:00,2024-01-02 17:07:00,SUCCESS,7,abc000204,develop,131,82,77.95275248066237,1
18,phoenix-billing-service-ci,david.kumar,2024-01-02 15:22:00,2024-01-02 15:27:00,SUCCESS,5,abc001651,main,40,116,61.8799631540649,1
19,phoenix-customer-platform-ci,ana.lopez,2024-01-03 19:09:00,2024-01-03 19:17:00,SUCCESS,8,abc001066,develop,104,106,84.9745776796819,1
20,phoenix-auth-service-ci,ana.lopez,2024-01-03 13:48:00,2024-01-03 13:56:00,SUCCESS,8,abc000304,feature/auth,104,77,79.19344656765264,1
21,phoenix-web-frontend-ci,ana.lopez,2024-01-03 10:59:00,2024-01-03 11:08:00,SUCCESS,9,abc001915,main,87,48,67.38772847447208,1
22,phoenix-web-frontend-ci,david.kumar,2024-01-03 15:09:00,2024-01-03 15:17:00,SUCCESS,8,abc001273,develop,144,47,78.12622485051222,1
23,phoenix-customer-platform-ci,david.kumar,2024-01-03 17:50:00,2024-01-03 17:57:00,SUCCESS,7,abc000631,feature/auth,47,43,76.92995523573926,1
24,phoenix-billing-service-ci,david.kumar,2024-01-03 11:08:00,2024-01-03 11:16:00,SUCCESS,8,abc000192,feature/billing,76,127,67.33006397929988,1
25,phoenix-billing-service-ci,ana.lopez,2024-01-03 08:35:00,2024-01-03 08:41:00,SUCCESS,6,abc001596,feature/billing,88,132,60.43981699261955,1
26,phoenix-customer-platform-ci,ana.lopez,2024-01-03 12:37:00,2024-01-03 12:47:00,SUCCESS,10,abc001342,feature/auth,144,93,64.27960409760365,1
27,phoenix-auth-service-ci,ana.lopez,2024-01-03 13:35:00,2024-01-03 13:40:00,SUCCESS,5,abc001058,feature/billing,84,83,70.02375866998598,1
28,phoenix-billing-service-ci,ana.lopez,2024-01-04 09:18:00,2024-01-04 09:28:00,SUCCESS,10,abc001733,feature/billing,129,109,65.39724895773219,1
29,phoenix-auth-service-ci,david.kumar,2024-01-04 10:00:00,2024-01-04 10:06:00,SUCCESS,6,abc001782,develop,136,94,65.11509797358173,1
30,phoenix-mobile-api-ci,tom.garcia,2024-01-04 20:12:00,2024-01-04 20:18:00,SUCCESS,6,abc000159,feature/auth,144,91,83.61004263529372,1
31,phoenix-auth-service-ci,david.kumar,2024-01-04 16:14:00,2024-01-04 16:20:00,SUCCESS,6,abc001929,main,126,54,80.27702541138947,1
32,phoenix-customer-platform-ci,ana.lopez,2024-01-04 20:16:00,2024-01-04 20:22:00,SUCCESS,6,abc001968,develop,138,100,81.61596555344427,1
33,phoenix-mobile-api-ci,david.kumar,2024-01-04 17:57:00,2024-01-04 18:04:00,SUCCESS,7,abc001985,main,66,80,64.27482741562311,1
34,phoenix-mobile-api-ci,ana.lopez,2024-01-04 14:13:00,2024-01-04 14:21:00,SUCCESS,8,abc000805,main,64,48,67.28729645735004,1
35,phoenix-web-frontend-ci,david.kumar,2024-01-04 19:20:00,2024-01-04 19:30:00,SUCCESS,10,abc001803,feature/auth,60,109,61.201214552494115,1
36,phoenix-mobile-api-ci,ana.lopez,2024-01-04 18:47:00,2024-01-04 18:56:00,SUCCESS,9,abc001626,develop,65,130,73.96392322801705,1
37,phoenix-customer-platform-ci,david.kumar,2024-01-05 18:19:00,2024-01-05 18:24:00,SUCCESS,5,abc001045,feature/billing,145,145,82.42991000193753,1
38,phoenix-customer-platform-ci,ana.lopez,2024-01-05 18:30:00,2024-01-05 18:38:00,SUCCESS,8,abc000510,main,82,74,82.80871586187143,1
39,phoenix-auth-service-ci,james.taylor,2024-01-05 11:11:00,2024-01-05 11:18:00,SUCCESS,7,abc000205,develop,59,112,73.99218433136035,1
40,phoenix-auth-service-ci,james.taylor,2024-01-05 09:17:00,2024-01-05 09:25:00,FAILURE,8,abc000754,main,62,55,65.68670629292302,1
41,phoenix-mobile-api-ci,david.kumar,2024-01-05 14:09:00,2024-01-05 14:15:00,SUCCESS,6,abc001243,main,128,51,78.40665183090081,1
42,phoenix-billing-service-ci,ana.lopez,2024-01-05 17:57:00,2024-01-05 18:04:00,SUCCESS,7,abc000569,develop,128,110,61.456080118187494,1
43,phoenix-billing-service-ci,ana.lopez,2024-01-05 09:03:00,2024-01-05 09:11:00,SUCCESS,8,abc000552,feature/billing,107,76,61.7567809280848,1
44,phoenix-billing-service-ci,david.kumar,2024-01-05 20:47:00,2024-01-05 20:55:00,SUCCESS,8,abc001535,feature/auth,66,146,73.52820630147374,1
45,phoenix-mobile-api-ci,ana.lopez,2024-01-05 08:05:00,2024-01-05 08:11:00,SUCCESS,6,abc000522,develop,85,121,61.57581301403458,1
46,phoenix-billing-service-ci,david.kumar,2024-01-06 08:59:00,2024-01-06 09:06:00,SUCCESS,7,abc001774,main,132,78,69.98417184472397,1
47,phoenix-customer-platform-ci,james.taylor,2024-01-06 16:08:00,2024-01-06 16:14:00,SUCCESS,6,abc001657,feature/billing,82,40,80.1410393981171,1
48,phoenix-auth-service-ci,ana.lopez,2024-01-06 14:36:00,2024-01-06 14:42:00,SUCCESS,6,abc001840,feature/auth,111,126,77.89175067060634,1
49,phoenix-web-frontend-ci,tom.garcia,2024-01-06 19:36:00,2024-01-06 19:45:00,SUCCESS,9,abc001459,main,104,116,75.42911588568442,1
50,phoenix-billing-service-ci,ana.lopez,2024-01-07 08:48:00,2024-01-07 08:55:00,SUCCESS,7,abc001465,feature/auth,95,143,64.67192203803137,1
51,phoenix-auth-service-ci,david.kumar,2024-01-07 09:05:00,2024-01-07 09:11:00,SUCCESS,6,abc001181,main,50,64,69.4298974935519,1
52,phoenix-customer-platform-ci,david.kumar,2024-01-08 11:35:00,2024-01-08 11:41:00,SUCCESS,6,abc000862,develop,140,89,77.81451533644045,1
53,phoenix-billing-service-ci,james.taylor,2024-01-08 13:28:00,2024-01-08 13:38:00,SUCCESS,10,abc000680,feature/billing,112,75,81.41635180147782,1
54,phoenix-mobile-api-ci,ana.lopez,2024-01-08 19:45:00,2024-01-08 19:51:00,SUCCESS,6,abc000316,feature/auth,126,145,81.13617052474768,1
55,phoenix-customer-platform-ci,ana.lopez,2024-01-08 20:07:00,2024-01-08 20:14:00,SUCCESS,7,abc000015,feature/auth,49,139,75.0333576965375,1
56,phoenix-web-frontend-ci,james.taylor,2024-01-08 18:52:00,2024-01-08 19:07:00,TIMEOUT,15,abc000759,feature/billing,128,129,45.77039247668943,1
57,phoenix-web-frontend-ci,david.kumar,2024-01-08 20:26:00,2024-01-08 20:34:00,SUCCESS,8,abc001401,feature/auth,46,131,79.94472093810649,1
58,phoenix-web-frontend-ci,james.taylor,2024-01-08 14:44:00,2024-01-08 14:52:00,SUCCESS,8,abc000246,develop,139,47,73.7769620733363,1
59,phoenix-mobile-api-ci,david.kumar,2024-01-08 20:12:00,2024-01-08 20:17:00,SUCCESS,5,abc001538,feature/billing,51,129,71.01219882025708,1
60,phoenix-web-frontend-ci,ana.lopez,2024-01-08 18:26:00,2024-01-08 18:33:00,SUCCESS,7,abc001333,develop,150,130,66.04510574773066,1
61,phoenix-auth-service-ci,ana.lopez,2024-01-09 09:50:00,2024-01-09 10:00:00,SUCCESS,10,abc000953,main,113,105,74.21167868871723,1
62,phoenix-customer-platform-ci,ana.lopez,2024-01-09 10:52:00,2024-01-09 10:57:00,SUCCESS,5,abc001301,develop,50,50,66.22008253418203,1
