issue_key,issue_type,summary,epic_key,feature_key,sprint_number,created_date,updated_date,resolution_date,status,resolution,priority,original_estimate_points,final_estimate_points,time_spent_hours,assignee,reporter,has_acceptance_criteria,acceptance_criteria_added_after_start,requirements_changed_after_start,is_interrupt,has_external_dependency,days_blocked,number_of_reopens,labels,severity
PHOE-10000,Story,Implement Customer Support Portal - Feature 4 functionality,BIZ-205,BIZ-205-F04,1,2024-01-13 00:00:00,2024-01-16 00:00:00,2024-01-19 00:00:00,Done,Fixed,Highest,5.0,5.0,26,mark.smith,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10001,Story,Implement Real-time Data Sync - Feature 3 functionality,MOD-106,MOD-106-F03,1,2024-01-07 00:00:00,2024-01-07 00:00:00,2024-01-08 00:00:00,Done,Fixed,High,3.0,3.0,10,ana.lopez,sarah.johnson,True,False,False,False,False,0,0,['modernization'],
PHOE-10002,Story,Implement Performance Monitoring - Feature 1 functionality,TECH-303,TECH-303-F01,1,2024-01-04 00:00:00,2024-01-07 00:00:00,2024-01-16 00:00:00,Done,Fixed,Low,1.0,1.0,21,mark.smith,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10003,Story,Implement Billing Service Microservice - Feature 1 functionality,MOD-103,MOD-103-F01,1,2024-01-04 00:00:00,2024-01-07 00:00:00,,To Do,,Low,1.0,1.0,20,mark.smith,sarah.johnson,True,False,False,False,False,0,0,['modernization'],
PHOE-10004,Story,Implement Regional Localization - Feature 4 functionality,,,1,2024-01-12 00:00:00,2024-01-13 00:00:00,2024-01-14 00:00:00,Done,Fixed,High,2.0,4.0,31,david.kumar,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10005,Story,Implement Regional Localization - Feature 1 functionality,BIZ-204,BIZ-204-F01,1,2024-01-09 00:00:00,2024-01-12 00:00:00,2024-01-15 00:00:00,Done,Fixed,High,8.0,8.0,33,mark.smith,sarah.johnson,True,True,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10006,Story,Implement Mobile App Feature Parity - Feature 1 functionality,,,1,2024-01-09 00:00:00,2024-01-13 00:00:00,2024-01-12 00:00:00,Done,Fixed,Medium,8.0,8.0,35,david.kumar,sarah.johnson,True,True,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10007,Story,Implement CI/CD Pipeline Optimization - Feature 2 functionality,,,1,2024-01-04 00:00:00,2024-01-09 00:00:00,,Blocked,,Low,1.0,1.0,17,tom.garcia,sarah.johnson,True,False,False,False,False,3,0,"['bau', 'maintenance']",
PHOE-10008,Story,Implement Mobile App Feature Parity - Feature 7 functionality,,,1,2024-01-12 00:00:00,2024-01-12 00:00:00,2024-01-16 00:00:00,Done,Fixed,High,5.0,10.0,18,mark.smith,sarah.johnson,True,True,False,False,True,0,0,"['bau', 'maintenance']",
PHOE-10009,Story,Implement Security Compliance Updates - Feature 3 functionality,TECH-302,TECH-302-F03,1,2024-01-02 00:00:00,2024-01-05 00:00:00,,To Do,,Low,8.0,8.0,6,mark.smith,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10010,Story,Implement Single Sign-On Implementation - Feature 6 functionality,MOD-102,MOD-102-F06,1,2024-01-11 00:00:00,2024-01-14 00:00:00,2024-01-15 00:00:00,Done,Fixed,High,3.0,4.0,21,tom.garcia,sarah.johnson,True,False,False,True,True,0,0,['modernization'],
PHOE-10011,Story,Implement Customer Data Platform - Feature 2 functionality,MOD-105,MOD-105-F02,1,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-01-09 00:00:00,Done,Fixed,High,1.0,3.0,28,james.taylor,sarah.johnson,True,True,False,True,False,0,0,['modernization'],
PHOE-10012,Story,Implement Kubernetes Migration - Feature 2 functionality,TECH-300,TECH-300-F02,1,2024-01-07 00:00:00,2024-01-12 00:00:00,2024-01-08 00:00:00,Done,Fixed,Medium,5.0,5.0,7,david.kumar,sarah.johnson,True,True,False,False,False,0,0,"['bau', 'maintenance']",
PHOE-10013,Story,Implement Billing Service Microservice - Feature 1 functionality,MOD-103,MOD-103-F01,1,2024-01-09 00:00:00,2024-01-12 00:00:00,,Blocked,,Medium,2.0,2.0,8,david.kumar,sarah.johnson,True,False,False,False,False,6,2,['modernization'],
PHOE-10014,Story,Implement Security Patches & Updates - Feature 3 functionality,,,1,2024-01-06 00:00:00,2024-01-08 00:00:00,2024-01-10 00:00:00,Done,Fixed,Highest,13.0,14.0,19,tom.garcia,sarah.johnson,True,False,False,True,False,0,0,"['bau', 'maintenance']",
PHOE-10015,Story,Implement User Authentication Microservice - Feature 3 functionality,MOD-100,MOD-100-F03,1,2024-01-11 00:00:00,2024-01-15 00:00:00,,In Progress,,High,2.0,2.0,10,mark.smith,sarah.johnson,True,False,False,False,False,0,0,['modernization'],
PHOE-10016,Story,Implement Single Sign-On Implementation - Feature 6 functionality,MOD-102,MOD-102-F06,1,2024-01-02 00:00:00,2024-01-05 00:00:00,2024-01-07 00:00:00,Done,Fixed,Low,3.0,3.0,39,mark.smith,sarah.johnson,True,True,True,True,False,0,0,['modernization'],
PHOE-10017,Story,Implement Single Sign-On Implementation - Feature 2 functionality,MOD-102,MOD-102-F02,1,2024-01-14 00:00:00,2024-01-19 00:00:00,,In Progress,,High,1.0,1.0,3,tom.garcia,sarah.johnson,True,False,False,False,False,0,0,['modernization'],
PHOE-10018,Story,Implement Legacy Data Migration - Feature 7 functionality,,,1,2024-01-04 00:00:00,2024-01-09 00:00:00,2024-01-10 00:00:00,Done,Fixed,High,5.0,5.0,21,james.taylor,sarah.johnson,True,False,False,False,False,0,3,['modernization'],
PHOE-10019,Story,Implement Customer Dashboard v2 - Feature 4 functionality,BIZ-202,BIZ-202-F04,1,2024-01-04 00:00:00,2024-01-04 00:00:00,2024-01-11 00:00:00,Done,Fixed,Medium,2.0,2.0,26,mark.smith,sarah.johnson,True,False,False,False,False,0,0,"['bau', 'maintenance']",
