message_id,channel,channel_type,author,timestamp,message_type,content_length,mentions_count,responses_count,reactions_count,is_after_hours,is_weekend,sprint_number,contains_blocked_keyword,contains_urgent_keyword
1,phoenix-daily,standup,tom.garcia,2024-01-01 17:55:00,general,33,1,2,0,False,False,1,False,False
2,modernization-effort,project,jordan.davis,2024-01-01 10:24:00,general,21,1,2,1,False,False,1,False,False
3,phoenix-team,team,jordan.davis,2024-01-01 08:03:00,general,33,0,1,0,False,False,1,False,False
4,production-alerts,alerts,mark.smith,2024-01-01 15:58:00,general,17,0,1,2,False,False,1,False,False
5,modernization-effort,project,james.taylor,2024-01-01 22:55:00,general,17,0,1,1,True,False,1,False,False
6,modernization-effort,project,lisa.chen,2024-01-01 14:38:00,blocked,26,3,4,1,False,False,1,True,False
7,modernization-effort,project,sam.miller,2024-01-01 08:18:00,general,28,1,0,2,False,False,1,False,False
8,production-alerts,alerts,rachel.wilson,2024-01-01 13:37:00,urgent,36,3,2,3,False,False,1,False,True
9,architecture-discussion,technical,mark.smith,2024-01-01 10:29:00,general,28,0,2,0,False,False,1,False,False
10,general-dev,general,jordan.davis,2024-01-01 09:59:00,general,28,1,1,2,False,False,1,False,False
11,modernization-effort,project,alex.brown,2024-01-01 04:35:00,general,21,0,2,0,True,False,1,False,False
12,phoenix-team,team,sarah.johnson,2024-01-01 12:20:00,general,21,0,2,4,False,False,1,False,False
13,production-alerts,alerts,mark.smith,2024-01-01 15:00:00,general,17,0,2,3,False,False,1,False,False
14,production-alerts,alerts,emma.jones,2024-01-01 15:59:00,general,17,0,2,1,False,False,1,False,False
15,modernization-effort,project,sarah.johnson,2024-01-01 02:21:00,general,17,0,1,2,True,False,1,False,False
16,phoenix-daily,standup,sarah.johnson,2024-01-01 12:06:00,blocked,26,1,1,1,False,False,1,True,False
17,phoenix-team,team,lisa.chen,2024-01-01 23:25:00,general,21,0,1,0,True,False,1,False,False
18,general-dev,general,emma.jones,2024-01-01 12:45:00,general,21,1,0,4,False,False,1,False,False
19,production-alerts,alerts,rachel.wilson,2024-01-01 10:27:00,general,28,0,0,2,False,False,1,False,False
